blast	sx	sy	selev	delay	charge	detonator
10013	492866.40	5264351.20	998.40	0.231	373.4	N
10013	492862.30	5264355.60	998.40	0.264	383.4	N
10013	492858.60	5264360.20	998.50	0.297	383.4	N
10013	492855.10	5264365.10	998.80	0.330	373.4	N
10014	492071.50	5264476.30	818.70	0.000	463.4	E
10014	492077.50	5264476.40	818.70	0.033	473.4	E
10014	492083.40	5264476.50	818.80	0.066	473.4	E
10014	492089.40	5264476.30	818.80	0.099	473.4	E
10014	492095.50	5264476.40	818.90	0.132	473.4	E
10014	492101.40	5264476.30	818.80	0.165	473.4	E
10014	492107.20	5264476.20	818.50	0.198	463.4	E
10014	492113.50	5264476.10	818.20	0.231	345.1	E
10014	492119.50	5264476.20	818.50	0.264	463.4	E
10016	492366.59	5264253.00	779.65	0.000	193.4	E
10016	492370.38	5264249.00	779.65	0.033	203.4	E
10016	492374.03	5264245.00	779.85	0.066	213.4	E
10016	492372.88	5264242.00	779.85	0.099	203.4	E
10016	492366.91	5264258.00	779.75	0.132	193.4	E
10016	492370.78	5264254.00	780.15	0.165	223.4	E
10016	492367.62	5264262.00	779.35	0.198	183.4	E
10016	492371.50	5264258.00	780.05	0.231	153.4	E
10016	492375.38	5264254.50	780.35	0.264	223.4	E
10016	492374.53	5264250.00	780.15	0.297	233.4	E
10017	492690.20	5264083.20	976.80	0.000	253.4	E
10017	492686.00	5264078.90	976.90	0.033	383.4	E
10017	492682.00	5264074.50	976.90	0.066	383.4	E
10017	492677.80	5264070.30	977.00	0.132	123.4	E
10017	492674.50	5264069.10	977.00	0.165	393.4	E
10017	492673.50	5264066.00	976.90	0.198	383.4	E
10017	492669.40	5264061.70	976.80	0.231	383.4	E
10017	492665.00	5264057.40	976.60	0.264	373.4	E
10017	492660.80	5264053.30	976.10	0.297	363.4	E
10017	492656.60	5264049.10	975.80	0.330	363.4	E
10017	492652.40	5264044.70	975.30	0.363	353.4	E
10017	492648.10	5264040.60	975.20	0.099	353.4	E
10018	492155.80	5264516.70	840.60	0.000	263.4	E
10018	492161.30	5264515.40	840.90	0.030	443.4	E
10018	492167.20	5264514.60	841.10	0.060	443.4	E
10018	492173.20	5264513.70	841.20	0.090	473.4	E
10018	492178.50	5264513.60	841.30	0.120	253.4	E
10019	492220.60	5264509.90	841.60	0.060	133.4	E
10019	492226.40	5264509.50	841.80	0.090	433.4	E
10019	492230.60	5264508.70	841.90	0.000	423.4	E
10019	492223.70	5264513.30	841.80	0.090	473.4	E
10019	492229.50	5264511.50	841.90	0.120	443.4	E
10019	492235.20	5264509.70	842.00	0.150	433.4	E
10019	492240.80	5264508.10	842.00	0.180	463.4	E
10019	492247.00	5264506.00	842.20	0.210	453.4	E
10019	492252.30	5264504.30	842.30	0.240	483.4	E
10019	492258.10	5264502.40	842.20	0.270	483.4	E
10019	492263.60	5264500.60	842.10	0.300	443.4	E
10019	492269.40	5264498.80	842.10	0.330	433.4	E
10019	492275.20	5264496.80	842.00	0.360	443.4	E
10019	492280.80	5264495.10	841.80	0.390	443.4	E
10019	492286.50	5264493.00	841.60	0.420	443.4	E
10019	492292.20	5264491.20	841.50	0.450	433.4	E
10019	492297.90	5264489.30	841.30	0.480	433.4	E
10019	492303.50	5264487.40	841.30	0.510	453.4	E
10019	492309.20	5264485.60	841.20	0.540	453.4	E
10020	492309.90	5264370.30	795.80	0.000	253.4	E
10020	492314.70	5264367.40	795.80	0.060	253.4	E
10020	492318.90	5264363.80	795.80	0.093	263.4	E
10020	492323.00	5264360.20	795.90	0.119	253.4	E
10020	492327.10	5264356.60	795.90	0.155	253.4	E
10020	492331.30	5264352.90	795.80	0.183	253.4	E
10020	492335.40	5264349.30	795.80	0.210	253.4	E
10020	492339.40	5264345.70	795.70	0.260	253.4	E
10020	492343.60	5264342.00	795.70	0.289	253.4	E
10020	492347.60	5264338.30	795.20	0.328	253.4	E
10020	492351.90	5264334.80	795.90	0.356	263.4	E
10021	492749.50	5264280.70	936.20	0.000	233.4	N
10021	492751.10	5264274.90	936.20	0.033	443.4	N
10021	492751.90	5264268.90	935.90	0.066	433.4	N
10021	492752.80	5264262.90	935.80	0.099	443.4	N
10021	492753.50	5264256.90	935.50	0.132	423.4	N
10021	492754.10	5264251.00	935.20	0.165	413.4	N
10021	492754.90	5264245.10	935.00	0.198	413.4	N
10022	492104.00	5264391.80	784.40	0.000	253.4	E
10022	492109.50	5264391.70	784.30	0.030	253.4	E
10022	492115.00	5264391.60	784.10	0.060	253.4	E
10022	492120.40	5264391.30	783.90	0.090	253.4	E
10022	492125.90	5264391.30	783.80	0.120	253.4	E
10022	492131.30	5264391.10	783.90	0.150	253.4	E
10022	492137.60	5264391.50	784.10	0.180	253.4	E
10022	492142.40	5264390.90	783.80	0.210	253.4	E
10022	492147.90	5264390.90	783.90	0.240	253.4	E
10022	492153.40	5264390.90	784.00	0.270	253.4	E
10022	492158.90	5264390.70	784.00	0.300	263.4	E
10022	492164.40	5264390.70	784.00	0.330	263.4	E
10022	492169.90	5264390.70	784.10	0.360	263.4	E
10022	492175.30	5264390.50	784.20	0.390	273.4	E
10022	492180.80	5264390.40	784.10	0.420	273.4	E
10022	492186.40	5264389.30	783.90	0.450	273.4	E
10023	492957.84	5264487.50	1048.15	0.180	333.4	E
10023	492958.31	5264482.00	1048.45	0.150	253.4	E
10023	492958.72	5264476.50	1048.25	0.120	273.4	E
10023	492959.22	5264471.00	1048.45	0.150	303.4	E
10023	492961.69	5264465.50	1048.45	0.060	303.4	E
10023	492962.38	5264460.00	1048.45	0.030	223.4	E
10023	492957.12	5264539.00	1046.55	0.525	383.4	E
10023	492957.72	5264533.50	1046.95	0.495	373.4	E
10023	492958.31	5264528.00	1047.25	0.465	313.4	E
10023	492958.72	5264522.50	1047.25	0.435	303.4	E
10023	492959.22	5264517.00	1047.35	0.405	253.4	E
10023	492959.69	5264512.00	1047.65	0.375	223.4	E
10023	492961.50	5264506.50	1047.75	0.345	343.4	E
10023	492960.69	5264501.00	1047.95	0.315	393.4	E
10023	492961.19	5264495.50	1048.15	0.285	403.4	E
10023	492961.69	5264490.00	1048.45	0.255	403.4	E
10023	492962.19	5264484.50	1048.45	0.225	443.4	E
10023	492962.56	5264479.00	1048.35	0.195	413.4	E
10023	492962.97	5264473.50	1048.45	0.165	423.4	E
10023	492963.47	5264468.00	1048.45	0.135	403.4	E
10023	492963.84	5264462.50	1048.45	0.105	513.4	E
10023	492964.75	5264457.50	1048.45	0.075	533.4	E
10023	492966.06	5264455.50	1048.45	0.000	283.4	E
10024	492377.40	5264420.50	840.90	0.000	433.4	E
10024	492381.60	5264416.20	840.90	0.026	443.4	E
10024	492385.70	5264411.80	840.90	0.049	443.4	E
10024	492389.80	5264407.40	840.80	0.074	443.4	E
10024	492394.00	5264403.10	840.90	0.100	453.4	E
10024	492398.60	5264399.20	841.20	0.127	443.4	E
10024	492403.10	5264395.30	841.20	0.153	443.4	E
10024	492407.20	5264391.00	841.20	0.192	463.4	E
10024	492411.40	5264386.60	841.30	0.225	443.4	E
10024	492415.50	5264382.30	841.30	0.270	453.4	E
10024	492419.70	5264377.90	841.20	0.307	463.4	E
10026	492643.90	5263971.80	996.20	0.000	453.4	E
10026	492648.40	5263975.50	996.50	0.029	483.4	E
10026	492653.00	5263979.40	996.70	0.075	483.4	E
10026	492657.40	5263983.30	996.90	0.107	493.4	E
10026	492662.10	5263987.30	997.40	0.147	503.4	E
10026	492666.40	5263991.10	997.40	0.166	483.4	E
10026	492670.80	5263994.80	997.60	0.189	513.4	E
10026	492675.30	5263998.80	997.60	0.232	513.4	E
10026	492522.30	5263958.00	952.80	0.007	123.4	E
10026	492526.50	5263962.40	952.80	0.033	403.4	E
10026	492530.70	5263966.70	952.70	0.056	403.4	E
10026	492534.70	5263971.00	952.60	0.094	433.4	E
10026	492539.00	5263975.20	952.80	0.136	413.4	E
10026	492543.20	5263979.50	952.90	0.180	413.4	E
10026	492547.40	5263983.80	953.10	0.207	403.4	E
10026	492551.70	5263988.00	953.40	0.224	423.4	E
10026	492556.00	5263992.30	953.70	0.247	433.4	E
10026	492560.30	5263996.40	954.30	0.303	433.4	E
10026	492564.50	5264000.60	954.70	0.328	453.4	E
10028	492365.50	5264498.10	866.20	0.000	443.4	N
10028	492369.90	5264494.10	866.00	0.033	443.4	N
10028	492374.30	5264489.80	865.40	0.066	453.4	N
10028	492378.50	5264485.60	865.10	0.108	443.4	N
10028	492382.70	5264481.50	864.70	0.141	443.4	N
10028	492387.10	5264477.30	864.60	0.166	423.4	N
10028	492391.30	5264473.00	863.70	0.191	423.4	N
10028	492396.00	5264469.20	864.70	0.221	443.4	N
10028	492400.40	5264465.10	864.80	0.254	443.4	N
10028	492404.80	5264461.20	864.90	0.287	493.4	N
10028	492409.10	5264457.00	864.70	0.312	523.4	N
10028	492413.60	5264452.90	864.70	0.337	443.4	N
10029	492535.70	5264298.40	863.60	0.000	453.4	N
10029	492539.60	5264294.40	863.70	0.033	423.4	N
10029	492543.40	5264290.40	863.50	0.066	393.4	N
10029	492547.10	5264286.80	863.30	0.099	283.4	N
10029	492551.30	5264282.50	863.50	0.132	263.4	N
10029	492555.10	5264278.80	863.50	0.165	443.4	N
10029	492559.00	5264274.90	863.60	0.198	453.4	N
10029	492563.40	5264271.50	863.70	0.231	373.4	N
10029	492567.50	5264268.10	863.90	0.264	283.4	N
10029	492570.10	5264264.60	864.00	0.297	263.4	N
10031	492364.40	5264214.10	780.30	0.000	223.4	E
10031	492367.40	5264218.80	780.20	0.024	123.4	E
10031	492369.50	5264222.00	780.30	0.052	123.4	E
10031	492378.50	5264237.30	780.40	0.098	123.4	E
10031	492380.20	5264242.40	780.30	0.122	153.4	E
10031	492381.00	5264246.50	780.40	0.168	153.4	E
10031	492362.20	5264205.50	780.70	0.073	183.4	E
10031	492365.10	5264210.30	780.40	0.086	253.4	E
10031	492367.90	5264214.90	780.30	0.109	243.4	E
10031	492370.90	5264219.60	780.30	0.132	223.4	E
10031	492373.90	5264224.10	780.40	0.180	243.4	E
10031	492376.70	5264228.70	780.60	0.243	243.4	E
10031	492379.40	5264233.40	780.50	0.274	243.4	E
10031	492382.30	5264238.10	780.50	0.321	243.4	E
10031	492384.30	5264242.80	780.40	0.370	103.4	E
10031	492206.20	5264342.60	767.00	0.083	273.4	E
10031	492210.60	5264339.30	767.10	0.127	273.4	E
10031	492215.00	5264335.90	767.10	0.153	263.4	E
10031	492219.30	5264332.60	766.90	0.177	273.4	E
10031	492223.60	5264329.30	766.80	0.195	283.4	E
10031	492228.10	5264325.90	766.80	0.207	263.4	E
10031	492232.40	5264322.60	766.70	0.245	253.4	E
10031	492236.70	5264319.20	766.50	0.275	253.4	E
10031	492241.20	5264315.90	766.50	0.315	263.4	E
10031	492245.60	5264312.70	766.80	0.344	233.4	E
10031	492250.00	5264309.30	766.90	0.371	263.4	E
10031	492254.40	5264306.00	766.90	0.400	263.4	E
10031	492258.80	5264302.80	767.00	0.429	263.4	E
10031	492263.10	5264299.40	766.80	0.460	273.4	E
10031	492267.50	5264296.10	766.80	0.525	273.4	E
10031	492271.90	5264292.80	766.90	0.543	263.4	E
10031	492276.30	5264289.50	767.10	0.569	263.4	E
10033	492573.50	5264464.20	928.40	0.000	103.4	N
10033	492575.90	5264470.20	928.70	0.033	303.4	N
10033	492577.90	5264475.40	929.20	0.066	313.4	N
10033	492578.70	5264480.30	929.70	0.099	363.4	N
10033	492572.20	5264467.00	928.60	0.132	353.4	N
10033	492571.10	5264468.70	928.70	0.165	333.4	N
10033	492573.30	5264474.40	929.00	0.198	343.4	N
10033	492575.50	5264479.60	929.40	0.231	353.4	N
10033	492577.60	5264485.30	929.60	0.264	353.4	N
10033	492570.30	5264477.50	929.10	0.297	123.4	N
10033	492573.20	5264482.10	929.40	0.330	353.4	N
10033	492570.20	5264481.20	929.00	0.363	343.4	N
10035	492988.50	5264394.40	1050.70	0.000	433.4	N
10035	492988.40	5264391.70	1050.60	0.033	455.1	N
10035	492988.00	5264385.60	1050.80	0.066	443.4	N
10035	492989.10	5264379.70	1050.70	0.099	493.4	N
10035	492990.10	5264373.90	1050.50	0.132	433.4	N
10035	492991.20	5264368.00	1050.60	0.165	473.4	N
10035	492992.10	5264361.70	1050.70	0.198	473.4	N
10035	492993.20	5264355.30	1050.80	0.231	473.4	N
10035	492994.20	5264349.00	1050.90	0.264	503.4	N
10035	492995.30	5264342.70	1050.80	0.297	493.4	N
10035	492996.40	5264336.70	1050.70	0.330	453.4	N
10035	492997.40	5264330.40	1050.40	0.363	513.4	N
10035	492998.50	5264324.20	1050.10	0.396	493.4	N
10036	492294.80	5264338.80	781.20	0.000	213.4	E
10036	492290.90	5264342.00	781.50	0.053	233.4	E
10036	492286.50	5264345.40	781.50	0.080	233.4	E
10036	492282.10	5264348.70	781.50	0.105	233.4	E
10036	492277.80	5264352.10	781.50	0.126	233.4	E
10036	492273.40	5264355.40	781.30	0.181	233.4	E
10036	492269.00	5264358.80	781.10	0.203	233.4	E
10036	492264.70	5264362.20	781.30	0.249	233.4	E
10036	492260.40	5264365.60	781.40	0.272	233.4	E
10036	492256.10	5264369.10	781.70	0.329	233.4	E
10036	492251.20	5264371.70	781.80	0.352	233.4	E
10036	492305.20	5264376.10	794.90	0.060	213.4	E
10036	492301.00	5264379.70	794.60	0.089	223.4	E
10036	492297.00	5264383.30	794.80	0.131	203.4	E
10036	492292.80	5264386.90	794.40	0.141	203.4	E
10036	492288.60	5264390.50	794.20	0.161	203.4	E
10036	492284.50	5264394.20	794.20	0.215	203.4	E
10036	492280.30	5264397.80	794.20	0.279	203.4	E
10036	492275.50	5264400.60	793.90	0.300	193.4	E
10038	492143.10	5264423.60	794.80	0.000	93.0	N
10038	492148.40	5264423.00	794.50	0.033	183.4	N
10038	492153.90	5264422.60	794.30	0.066	193.4	N
10038	492159.30	5264422.20	794.00	0.099	203.4	N
10038	492164.80	5264422.00	794.00	0.132	183.4	N
10038	492170.20	5264421.60	794.10	0.165	203.4	N
10038	492175.60	5264421.10	794.10	0.198	203.4	N
10038	492181.30	5264420.90	793.90	0.231	193.4	N
10038	492186.70	5264420.60	793.80	0.264	193.4	N
10038	492192.20	5264420.20	793.60	0.297	193.4	N
10038	492197.80	5264419.90	793.70	0.330	193.4	N
10038	492203.30	5264419.50	793.70	0.363	193.4	N
10038	492208.80	5264419.10	793.80	0.396	193.4	N
10038	492214.50	5264418.70	793.90	0.429	183.4	N
10038	492220.10	5264418.00	793.90	0.462	183.4	N
10038	492225.30	5264416.40	794.20	0.495	193.4	N
10038	492230.60	5264414.80	794.40	0.528	193.4	N
10038	492235.80	5264413.20	794.60	0.561	193.4	N
10038	492241.00	5264411.50	794.70	0.594	193.4	N
10038	492246.30	5264409.90	794.90	0.627	203.4	N
10038	492251.50	5264408.10	794.70	0.660	193.4	N
10038	492256.70	5264406.40	794.60	0.693	193.4	N
10038	492262.00	5264404.70	794.60	0.726	203.4	N
10038	492267.20	5264403.30	794.80	0.759	213.4	N
20039	492636.00	5263953.00	997.00	0.033	165.0	E
20039	492638.00	5263956.00	997.00	0.068	260.0	E
20039	492644.00	5263960.00	997.00	0.100	449.0	E
20039	492648.00	5263964.00	997.00	0.133	447.0	E
20039	492652.00	5263968.00	997.00	0.163	455.0	E
20039	492656.00	5263972.00	997.00	0.197	463.0	E
20039	492660.00	5263976.00	997.00	0.231	370.0	E
20039	492664.00	5263980.00	998.00	0.260	354.0	E
20039	492668.00	5263985.00	998.00	0.295	271.0	E
20039	492672.00	5263989.00	998.00	0.326	343.0	E
20039	492678.00	5263993.00	998.00	0.362	255.0	E
20039	492542.00	5263918.00	972.00	0.000	218.0	E
20039	492544.00	5263921.00	972.00	0.028	253.0	E
20039	492548.00	5263925.00	971.00	0.062	317.0	E
20039	492552.00	5263930.00	971.00	0.097	315.0	E
20039	492556.00	5263934.00	971.00	0.130	312.0	E
20039	492560.00	5263939.00	971.00	0.162	178.0	E
20039	492564.00	5263943.00	971.00	0.196	310.0	E
20039	492568.00	5263948.00	971.00	0.229	315.0	E
20039	492572.00	5263952.00	971.00	0.261	207.0	E
20039	492576.00	5263957.00	971.00	0.294	315.0	E
20039	492580.00	5263961.00	971.00	0.327	227.0	E
20039	492584.00	5263966.00	971.00	0.360	310.0	E
20040	492663.00	5264465.00	957.00	0.010	255.0	E
20040	492667.00	5264461.00	957.00	0.037	519.0	E
20040	492670.00	5264456.00	957.00	0.062	510.0	E
20040	492673.00	5264451.00	957.00	0.092	508.0	E
20040	492677.00	5264446.00	957.00	0.124	244.0	E
20040	492680.00	5264441.00	957.00	0.160	220.0	E
20040	492683.00	5264436.00	957.00	0.191	517.0	E
20040	492687.00	5264431.00	957.00	0.221	381.0	E
20040	492690.00	5264426.00	957.00	0.255	427.0	E
20040	492694.00	5264421.00	957.00	0.286	471.0	E
20040	492697.00	5264417.00	957.00	0.311	482.0	E
20040	492701.00	5264412.00	958.00	0.335	535.0	E
20040	492704.00	5264407.00	958.00	0.360	548.0	E
20040	492708.00	5264402.00	958.00	0.389	376.0	E
20040	492711.00	5264397.00	958.00	0.413	372.0	E
20040	492600.00	5264455.00	931.00	0.000	418.0	E
20040	492603.00	5264450.00	931.00	0.033	418.0	E
20040	492607.00	5264446.00	931.00	0.065	418.0	E
20040	492610.00	5264441.00	931.00	0.092	418.0	E
20040	492614.00	5264436.00	931.00	0.126	411.0	E
20040	492618.00	5264432.00	931.00	0.153	414.0	E
20040	492622.00	5264427.00	931.00	0.182	411.0	E
20040	492626.00	5264422.00	931.00	0.222	414.0	E
20040	492629.00	5264418.00	931.00	0.251	420.0	E
20040	492633.00	5264413.00	931.00	0.284	398.0	E
20040	492637.00	5264409.00	931.00	0.312	431.0	E
20040	492641.00	5264404.00	931.00	0.339	442.0	E
20040	492645.00	5264399.00	932.00	0.363	451.0	E
20040	492649.00	5264394.00	932.00	0.389	427.0	E
20042	492102.00	5264398.00	783.00	0.561	160.0	N
20042	492107.00	5264398.00	783.00	0.528	250.0	N
20042	492113.00	5264399.00	783.00	0.495	210.0	N
20042	492118.00	5264398.00	783.00	0.462	250.0	N
20042	492124.00	5264398.00	783.00	0.429	240.0	N
20042	492129.00	5264398.00	783.00	0.396	230.0	N
20042	492135.00	5264397.00	783.00	0.363	240.0	N
20042	492140.00	5264397.00	783.00	0.330	240.0	N
20042	492146.00	5264397.00	783.00	0.297	240.0	N
20042	492151.00	5264397.00	783.00	0.264	220.0	N
20042	492157.00	5264396.00	782.00	0.231	220.0	N
20042	492162.00	5264396.00	782.00	0.198	220.0	N
20042	492168.00	5264396.00	782.00	0.165	230.0	N
20042	492173.00	5264396.00	782.00	0.132	240.0	N
20042	492179.00	5264395.00	782.00	0.099	230.0	N
20042	492184.00	5264395.00	782.00	0.066	210.0	N
20042	492190.00	5264395.00	781.00	0.033	220.0	N
20042	492195.00	5264394.00	781.00	0.000	40.0	N
20043	492124.00	5264583.00	862.00	0.231	200.0	N
20043	492130.00	5264581.00	862.00	0.198	335.0	N
20043	492135.00	5264579.00	862.00	0.165	335.0	N
20043	492141.00	5264576.00	862.00	0.132	345.0	N
20043	492146.00	5264574.00	862.00	0.099	345.0	N
20043	492152.00	5264572.00	862.00	0.066	300.0	N
20043	492157.00	5264569.00	863.00	0.033	280.0	N
20043	492162.00	5264567.00	862.00	0.000	280.0	N
20044	492836.00	5264596.00	1007.00	0.408	60.0	N
20044	492839.00	5264594.00	1007.00	0.433	80.0	N
20044	492841.00	5264591.00	1007.00	0.500	80.0	N
20044	492843.00	5264593.00	1007.00	0.125	80.0	N
20044	492844.00	5264590.00	1007.00	0.150	80.0	N
20044	492845.00	5264587.00	1008.00	0.200	80.0	N
20044	492845.00	5264583.00	1008.00	0.250	80.0	N
20044	492846.00	5264580.00	1008.00	0.300	20.0	N
20044	492846.00	5264575.00	1008.00	0.325	30.0	N
20044	492847.00	5264570.00	1008.00	0.350	40.0	N
20044	492847.00	5264565.00	1008.00	0.400	50.0	N
20044	492848.00	5264560.00	1009.00	0.425	0.0	N
20044	492849.00	5264555.00	1009.00	0.450	60.0	N
20044	492849.00	5264549.00	1009.00	0.502	70.0	N
20044	492854.00	5264522.00	1011.00	0.000	60.0	N
20044	492854.00	5264528.00	1011.00	0.025	80.0	N
20044	492853.00	5264534.00	1010.00	0.050	120.0	N
20044	492852.00	5264540.00	1010.00	0.075	30.0	N
20044	492852.00	5264546.00	1009.00	0.100	30.0	N
20044	492851.00	5264552.00	1009.00	0.175	40.0	N
20044	492851.00	5264558.00	1009.00	0.225	50.0	N
20044	492850.00	5264563.00	1008.00	0.275	50.0	N
20044	492850.00	5264568.00	1008.00	0.325	90.0	N
20044	492849.00	5264573.00	1008.00	0.377	110.0	N
20044	492849.00	5264578.00	1008.00	0.377	140.0	N
20044	492848.00	5264583.00	1008.00	0.375	60.0	N
20044	492848.00	5264588.00	1008.00	0.477	100.0	N
20044	492846.00	5264593.00	1008.00	0.502	70.0	N
20045	492787.00	5264100.00	998.00	0.150	200.0	N
20045	492783.00	5264097.00	998.00	0.125	410.0	N
20045	492778.00	5264093.00	998.00	0.100	390.0	N
20045	492773.00	5264089.00	998.00	0.075	420.0	N
20045	492769.00	5264085.00	998.00	0.050	100.0	N
20045	492764.00	5264082.00	998.00	0.025	240.0	N
20045	492759.00	5264078.00	999.00	0.000	210.0	N
20045	492791.00	5264100.00	998.00	0.242	200.0	N
20045	492786.00	5264097.00	998.00	0.217	360.0	N
20045	492781.00	5264094.00	998.00	0.192	380.0	N
20045	492777.00	5264090.00	998.00	0.167	410.0	N
20045	492772.00	5264086.00	998.00	0.142	400.0	N
20045	492767.00	5264082.00	999.00	0.117	330.0	N
20045	492763.00	5264079.00	999.00	0.092	350.0	N
20046	492077.00	5264438.00	792.00	0.067	170.0	N
20046	492083.00	5264437.00	792.00	0.092	190.0	N
20046	492089.00	5264437.00	793.00	0.117	200.0	N
20046	492095.00	5264436.00	793.00	0.142	190.0	N
20046	492101.00	5264436.00	793.00	0.167	200.0	N
20046	492107.00	5264436.00	793.00	0.192	190.0	N
20046	492113.00	5264435.00	793.00	0.217	210.0	N
20046	492120.00	5264435.00	793.00	0.242	210.0	N
20046	492126.00	5264435.00	793.00	0.267	200.0	N
20046	492075.00	5264442.00	792.00	0.000	80.0	N
20046	492081.00	5264441.00	792.00	0.025	140.0	N
20046	492087.00	5264440.00	793.00	0.050	140.0	N
20046	492093.00	5264440.00	793.00	0.075	140.0	N
20046	492099.00	5264440.00	793.00	0.100	110.0	N
20046	492105.00	5264439.00	793.00	0.125	150.0	N
20046	492111.00	5264439.00	793.00	0.150	150.0	N
20046	492117.00	5264438.00	793.00	0.175	170.0	N
20046	492123.00	5264438.00	793.00	0.200	170.0	N
20046	492129.00	5264437.00	793.00	0.225	170.0	N
20047	492897.00	5264565.00	1027.00	0.000	300.0	N
20047	492901.00	5264565.00	1027.00	0.050	360.0	N
20047	492907.00	5264563.00	1027.00	0.075	410.0	N
20047	492912.00	5264560.00	1027.00	0.100	370.0	N
20047	492900.00	5264570.00	1028.00	0.117	360.0	N
20047	492905.00	5264567.00	1027.00	0.142	390.0	N
20047	492911.00	5264565.00	1027.00	0.167	390.0	N
20047	492896.00	5264567.00	1027.00	0.025	280.0	N
20047	492896.00	5264571.00	1027.00	0.092	210.0	N
20048	492405.00	5264274.00	794.00	0.000	210.0	N
20048	492408.00	5264270.00	794.00	0.025	230.0	N
20048	492412.00	5264265.00	794.00	0.050	220.0	N
20048	492415.00	5264261.00	794.00	0.075	240.0	N
20048	492419.00	5264257.00	794.00	0.100	180.0	N
20048	492406.00	5264280.00	794.00	0.067	230.0	N
